stocksymbol	datereport	priorcloseprice	ceiling	floor	openprice	highest	lowest	last	totalshare	totalvalue
FLC	2016-04-21T00:00:00+07:00	6400.0000	6800.0000	6000.0000	6400.0000	6500.0000	6300.0000	6400.0000	3270320	20928830000
FMC	2016-04-21T00:00:00+07:00	20500.0000	21900.0000	19100.0000	20500.0000	21100.0000	20400.0000	21100.0000	53050	1092750000
FPT	2016-04-21T00:00:00+07:00	47100.0000	50000.0000	43900.0000	47300.0000	47500.0000	47100.0000	47300.0000	496340	23461790000
GAS	2016-04-21T00:00:00+07:00	44800.0000	47900.0000	41700.0000	45700.0000	47600.0000	45700.0000	47600.0000	1430930	66941240000
GDT	2016-04-21T00:00:00+07:00	45400.0000	48500.0000	42300.0000	45000.0000	45400.0000	44000.0000	45300.0000	13420	592580000
GIL	2016-04-21T00:00:00+07:00	35100.0000	37500.0000	32700.0000	35500.0000	35500.0000	35200.0000	35500.0000	8500	300250000
GMC	2016-04-21T00:00:00+07:00	40000.0000	42800.0000	37200.0000	40000.0000	40500.0000	40000.0000	40000.0000	710	28640000
GMD	2016-04-21T00:00:00+07:00	38500.0000	41100.0000	35900.0000	38600.0000	38700.0000	38300.0000	38600.0000	173770	6689970000
GSP	2016-04-21T00:00:00+07:00	14200.0000	15100.0000	13300.0000	14300.0000	14300.0000	14000.0000	14300.0000	38860	547390000
GTA	2016-04-21T00:00:00+07:00	17600.0000	18800.0000	16400.0000	16800.0000	17300.0000	16400.0000	17300.0000	6140	102950000
GTN	2016-04-21T00:00:00+07:00	15800.0000	16900.0000	14700.0000	15700.0000	16200.0000	15700.0000	16200.0000	693660	11056040000
GTT	2016-04-21T00:00:00+07:00	1100.0000	1200.0000	1000.0000	1100.0000	1200.0000	1100.0000	1100.0000	76700	87170000
HAG	2016-04-21T00:00:00+07:00	6700.0000	7100.0000	6300.0000	6700.0000	6900.0000	6700.0000	6800.0000	1657010	11254310000
HAH	2016-04-21T00:00:00+07:00	42800.0000	45700.0000	39900.0000	43100.0000	43100.0000	42800.0000	42900.0000	145980	6267070000
HAI	2016-04-21T00:00:00+07:00	5000.0000	5300.0000	4700.0000	5100.0000	5200.0000	5100.0000	5100.0000	946990	4830700000
HAP	2016-04-21T00:00:00+07:00	5100.0000	5400.0000	4800.0000	5100.0000	5200.0000	5000.0000	5100.0000	231430	1179740000
HAR	2016-04-21T00:00:00+07:00	4500.0000	4800.0000	4200.0000	4500.0000	4600.0000	4500.0000	4600.0000	509400	2316240000
HAS	2016-04-21T00:00:00+07:00	6700.0000	7100.0000	6300.0000	7100.0000	7100.0000	6900.0000	7100.0000	305960	2168890000
HAX	2016-04-21T00:00:00+07:00	18600.0000	19900.0000	17300.0000	19000.0000	19900.0000	18700.0000	19900.0000	10190	198520000
HBC	2016-04-21T00:00:00+07:00	18700.0000	20000.0000	17400.0000	18700.0000	18900.0000	18700.0000	18800.0000	144110	2709100000
HCM	2016-04-21T00:00:00+07:00	28800.0000	30800.0000	26800.0000	29300.0000	29800.0000	29100.0000	29400.0000	379400	11143070000
HDC	2016-04-21T00:00:00+07:00	13400.0000	14300.0000	12500.0000	13300.0000	13300.0000	13000.0000	13300.0000	11250	147820000
HDG	2016-04-21T00:00:00+07:00	27000.0000	28800.0000	25200.0000	26100.0000	27000.0000	26000.0000	27000.0000	11890	313390000
HHS	2016-04-21T00:00:00+07:00	8300.0000	8800.0000	7800.0000	8300.0000	8400.0000	8200.0000	8300.0000	977450	8116330000
HLG	2016-04-21T00:00:00+07:00	7400.0000	7900.0000	6900.0000	6900.0000	7100.0000	6900.0000	6900.0000	22300	154150000
HMC	2016-04-21T00:00:00+07:00	7200.0000	7700.0000	6700.0000	7300.0000	7300.0000	7200.0000	7300.0000	35070	255210000
HNG	2016-04-21T00:00:00+07:00	6800.0000	7200.0000	6400.0000	6800.0000	6900.0000	6700.0000	6800.0000	620220	4226870000
HOT	2016-04-21T00:00:00+07:00	19600.0000	20900.0000	18300.0000	0.0000	0.0000	0.0000	19600.0000	0	0
HPG	2016-04-21T00:00:00+07:00	31200.0000	33300.0000	29100.0000	31400.0000	32000.0000	31400.0000	31500.0000	3670790	116434740000
HQC	2016-04-21T00:00:00+07:00	5500.0000	5800.0000	5200.0000	5500.0000	5600.0000	5500.0000	5600.0000	3185880	17573640000
HRC	2016-04-21T00:00:00+07:00	37400.0000	40000.0000	34800.0000	34900.0000	37300.0000	34900.0000	37300.0000	1410	49230000
HSG	2016-04-21T00:00:00+07:00	39500.0000	42200.0000	36800.0000	40700.0000	42200.0000	40400.0000	42200.0000	1940040	80769200000
HT1	2016-04-21T00:00:00+07:00	26300.0000	28100.0000	24500.0000	25100.0000	26100.0000	25100.0000	26000.0000	16830	435870000
HTI	2016-04-21T00:00:00+07:00	16900.0000	18000.0000	15800.0000	16700.0000	16900.0000	16500.0000	16900.0000	137810	2305130000
HTL	2016-04-21T00:00:00+07:00	78500.0000	83500.0000	73500.0000	83500.0000	83500.0000	83500.0000	83500.0000	15640	1305940000
HTV	2016-04-21T00:00:00+07:00	16000.0000	17100.0000	14900.0000	0.0000	0.0000	0.0000	16000.0000	0	0
HU1	2016-04-21T00:00:00+07:00	6600.0000	7000.0000	6200.0000	6300.0000	6600.0000	6300.0000	6600.0000	710	4480000
HU3	2016-04-21T00:00:00+07:00	7200.0000	7700.0000	6700.0000	7300.0000	7300.0000	7100.0000	7100.0000	5000	36200000
HVG	2016-04-21T00:00:00+07:00	10000.0000	10700.0000	9300.0000	10000.0000	10100.0000	10000.0000	10000.0000	291690	2921800000
HVX	2016-04-21T00:00:00+07:00	4300.0000	4600.0000	4000.0000	0.0000	0.0000	0.0000	4300.0000	0	0
ICF	2016-04-21T00:00:00+07:00	3500.0000	3700.0000	3300.0000	3400.0000	3600.0000	3400.0000	3500.0000	310	1070000
IDI	2016-04-21T00:00:00+07:00	7600.0000	8100.0000	7100.0000	7600.0000	7900.0000	7600.0000	7700.0000	743080	5764260000
IJC	2016-04-21T00:00:00+07:00	7600.0000	8100.0000	7100.0000	7700.0000	7800.0000	7600.0000	7600.0000	416550	3194160000
IMP	2016-04-21T00:00:00+07:00	48400.0000	51500.0000	45100.0000	49900.0000	49900.0000	49500.0000	49500.0000	11830	588410000
ITA	2016-04-21T00:00:00+07:00	4600.0000	4900.0000	4300.0000	4600.0000	4700.0000	4600.0000	4600.0000	1421510	6554490000
ITC	2016-04-21T00:00:00+07:00	7700.0000	8200.0000	7200.0000	7600.0000	7600.0000	7400.0000	7600.0000	207570	1560890000
ITD	2016-04-21T00:00:00+07:00	20700.0000	22100.0000	19300.0000	20700.0000	21200.0000	20700.0000	21000.0000	141000	2952630000
JVC	2016-04-21T00:00:00+07:00	4200.0000	4400.0000	4000.0000	4300.0000	4300.0000	4200.0000	4300.0000	559960	2359790000
KAC	2016-04-21T00:00:00+07:00	8900.0000	9500.0000	8300.0000	9000.0000	9200.0000	8500.0000	8500.0000	200	1750000
KBC	2016-04-21T00:00:00+07:00	12800.0000	13600.0000	12000.0000	12800.0000	13100.0000	12800.0000	12900.0000	1692750	21872420000
KDC	2016-04-21T00:00:00+07:00	24800.0000	26500.0000	23100.0000	24900.0000	25000.0000	24600.0000	24800.0000	254560	6304170000
KDH	2016-04-21T00:00:00+07:00	22900.0000	24500.0000	21300.0000	22700.0000	23100.0000	22700.0000	23000.0000	97780	2240690000
KHA	2016-04-21T00:00:00+07:00	31800.0000	34000.0000	29600.0000	31900.0000	31900.0000	31700.0000	31800.0000	21580	686650000
KHP	2016-04-21T00:00:00+07:00	12400.0000	13200.0000	11600.0000	12300.0000	12400.0000	12300.0000	12300.0000	47460	584060000
KMR	2016-04-21T00:00:00+07:00	7200.0000	7700.0000	6700.0000	7300.0000	7300.0000	6700.0000	6700.0000	1664600	11303320000
KPF	2016-04-21T00:00:00+07:00	8000.0000	8500.0000	7500.0000	8000.0000	8000.0000	7800.0000	7900.0000	260810	2070240000
KSA	2016-04-21T00:00:00+07:00	6300.0000	6700.0000	5900.0000	6200.0000	6300.0000	6100.0000	6300.0000	2300400	14288710000
KSB	2016-04-21T00:00:00+07:00	46200.0000	49400.0000	43000.0000	47000.0000	47600.0000	46200.0000	47200.0000	322730	15113090000
KSH	2016-04-21T00:00:00+07:00	4000.0000	4200.0000	3800.0000	4000.0000	4200.0000	4000.0000	4100.0000	137270	559010000
KSS	2016-04-21T00:00:00+07:00	1100.0000	1200.0000	1000.0000	1200.0000	1200.0000	1100.0000	1100.0000	243980	268750000
L10	2016-04-21T00:00:00+07:00	16400.0000	17500.0000	15300.0000	15600.0000	17100.0000	15600.0000	17100.0000	680	10680000
LAF	2016-04-21T00:00:00+07:00	13300.0000	14200.0000	12400.0000	13500.0000	13500.0000	13300.0000	13400.0000	21310	285320000
LBM	2016-04-21T00:00:00+07:00	24200.0000	25800.0000	22600.0000	24400.0000	24400.0000	23800.0000	24000.0000	3410	81630000
LCG	2016-04-21T00:00:00+07:00	5400.0000	5700.0000	5100.0000	5500.0000	5500.0000	5300.0000	5500.0000	88950	479000000
LCM	2016-04-21T00:00:00+07:00	2700.0000	2800.0000	2600.0000	2700.0000	2800.0000	2700.0000	2800.0000	55070	153840000
LDG	2016-04-21T00:00:00+07:00	8300.0000	8800.0000	7800.0000	7900.0000	7900.0000	7800.0000	7800.0000	1941160	15170230000
LGC	2016-04-21T00:00:00+07:00	19800.0000	21100.0000	18500.0000	19700.0000	20000.0000	19700.0000	20000.0000	1600	31700000
LGL	2016-04-21T00:00:00+07:00	7300.0000	7800.0000	6800.0000	7000.0000	7200.0000	7000.0000	7200.0000	3510	24580000
LHG	2016-04-21T00:00:00+07:00	23500.0000	25100.0000	21900.0000	24100.0000	24700.0000	24000.0000	24400.0000	225810	5493440000
LIX	2016-04-21T00:00:00+07:00	79500.0000	85000.0000	74000.0000	79000.0000	81500.0000	79000.0000	80000.0000	48850	3933530000
LM8	2016-04-21T00:00:00+07:00	29200.0000	31200.0000	27200.0000	29200.0000	29600.0000	29200.0000	29200.0000	21630	633630000
LSS	2016-04-21T00:00:00+07:00	10600.0000	11300.0000	9900.0000	10800.0000	11300.0000	10700.0000	11300.0000	1175040	12861070000
MBB	2016-04-21T00:00:00+07:00	14500.0000	15500.0000	13500.0000	14400.0000	14600.0000	14300.0000	14600.0000	578270	8402350000
MCG	2016-04-21T00:00:00+07:00	3300.0000	3500.0000	3100.0000	3300.0000	3300.0000	3200.0000	3200.0000	26800	87190000
MCP	2016-04-21T00:00:00+07:00	11700.0000	12500.0000	10900.0000	11900.0000	11900.0000	11900.0000	11900.0000	10	120000
MDG	2016-04-21T00:00:00+07:00	8800.0000	9400.0000	8200.0000	8600.0000	9000.0000	8600.0000	9000.0000	37500	323240000
MHC	2016-04-21T00:00:00+07:00	12400.0000	13200.0000	11600.0000	12500.0000	12900.0000	12400.0000	12700.0000	283830	3584190000
MSN	2016-04-21T00:00:00+07:00	67500.0000	72000.0000	63000.0000	67500.0000	70000.0000	67500.0000	70000.0000	334330	23051860000
MWG	2016-04-21T00:00:00+07:00	74000.0000	79000.0000	69000.0000	74000.0000	74000.0000	73000.0000	74000.0000	27270	1996080000
NAF	2016-04-21T00:00:00+07:00	29300.0000	31300.0000	27300.0000	29200.0000	29700.0000	29200.0000	29600.0000	191410	5639750000
NAV	2016-04-21T00:00:00+07:00	9200.0000	9800.0000	8600.0000	8700.0000	8700.0000	8600.0000	8600.0000	160	1390000
NBB	2016-04-21T00:00:00+07:00	16200.0000	17300.0000	15100.0000	16700.0000	16700.0000	16300.0000	16400.0000	61610	1018460000
NCT	2016-04-21T00:00:00+07:00	119000.0000	127000.0000	111000.0000	120000.0000	120000.0000	118000.0000	119000.0000	26180	3123550000
NKG	2016-04-21T00:00:00+07:00	15000.0000	16000.0000	14000.0000	15000.0000	16000.0000	15000.0000	16000.0000	445100	7062520000
NLG	2016-04-21T00:00:00+07:00	22300.0000	23800.0000	20800.0000	22300.0000	22500.0000	22300.0000	22300.0000	75160	1678690000
NNC	2016-04-21T00:00:00+07:00	65500.0000	70000.0000	61000.0000	67000.0000	69000.0000	66500.0000	67000.0000	48530	3277520000
NSC	2016-04-21T00:00:00+07:00	94000.0000	100000.0000	87500.0000	0.0000	0.0000	0.0000	94000.0000	0	0
NT2	2016-04-21T00:00:00+07:00	30600.0000	32700.0000	28500.0000	30600.0000	30600.0000	29500.0000	29500.0000	665630	19860280000
NTL	2016-04-21T00:00:00+07:00	9600.0000	10200.0000	9000.0000	9600.0000	9800.0000	9500.0000	9600.0000	233460	2258460000
NVT	2016-04-21T00:00:00+07:00	2400.0000	2500.0000	2300.0000	2500.0000	2500.0000	2500.0000	2500.0000	34170	85430000
OGC	2016-04-21T00:00:00+07:00	2900.0000	3100.0000	2700.0000	3100.0000	3100.0000	3000.0000	3100.0000	3637420	11274590000
OPC	2016-04-21T00:00:00+07:00	36500.0000	39000.0000	34000.0000	36300.0000	36300.0000	36300.0000	36300.0000	500	18150000
PAC	2016-04-21T00:00:00+07:00	37900.0000	40500.0000	35300.0000	38400.0000	38400.0000	37500.0000	38000.0000	50930	1938630000
PAN	2016-04-21T00:00:00+07:00	33500.0000	35800.0000	31200.0000	34000.0000	34000.0000	33100.0000	33600.0000	25910	869590000
PDN	2016-04-21T00:00:00+07:00	41500.0000	44400.0000	38600.0000	42300.0000	42300.0000	39800.0000	41500.0000	1570	62630000
PDR	2016-04-21T00:00:00+07:00	15200.0000	16200.0000	14200.0000	15200.0000	15400.0000	15100.0000	15300.0000	845890	12869420000
PET	2016-04-21T00:00:00+07:00	12500.0000	13300.0000	11700.0000	12600.0000	12800.0000	12600.0000	12700.0000	131900	1673120000
PGC	2016-04-21T00:00:00+07:00	10700.0000	11400.0000	10000.0000	10600.0000	10700.0000	10600.0000	10600.0000	9500	100820000
PGD	2016-04-21T00:00:00+07:00	42900.0000	45900.0000	39900.0000	42900.0000	43500.0000	42900.0000	43500.0000	662420	28727580000
PGI	2016-04-21T00:00:00+07:00	15400.0000	16400.0000	14400.0000	15300.0000	16100.0000	15200.0000	15500.0000	198500	3054700000
PHR	2016-04-21T00:00:00+07:00	18100.0000	19300.0000	16900.0000	18500.0000	19200.0000	18500.0000	18800.0000	352320	6631890000
PIT	2016-04-21T00:00:00+07:00	7400.0000	7900.0000	6900.0000	0.0000	0.0000	0.0000	7400.0000	0	0
PJT	2016-04-21T00:00:00+07:00	10500.0000	11200.0000	9800.0000	0.0000	0.0000	0.0000	10500.0000	0	0
PNC	2016-04-21T00:00:00+07:00	11600.0000	12400.0000	10800.0000	0.0000	0.0000	0.0000	11600.0000	0	0
PNJ	2016-04-21T00:00:00+07:00	51500.0000	55000.0000	47900.0000	51500.0000	53500.0000	51500.0000	52500.0000	84740	4452790000
POM	2016-04-21T00:00:00+07:00	9100.0000	9700.0000	8500.0000	9700.0000	9700.0000	9000.0000	9700.0000	5550	52890000
PPC	2016-04-21T00:00:00+07:00	17700.0000	18900.0000	16500.0000	17700.0000	18200.0000	17700.0000	18000.0000	310170	5577830000
PPI	2016-04-21T00:00:00+07:00	5200.0000	5500.0000	4900.0000	5100.0000	5200.0000	5000.0000	5000.0000	483820	2439440000
PTB	2016-04-21T00:00:00+07:00	104000.0000	111000.0000	97000.0000	104000.0000	104000.0000	103000.0000	104000.0000	17670	1834670000
PTC	2016-04-21T00:00:00+07:00	6500.0000	6900.0000	6100.0000	0.0000	0.0000	0.0000	6500.0000	0	0
PTL	2016-04-21T00:00:00+07:00	1800.0000	1900.0000	1700.0000	1900.0000	1900.0000	1800.0000	1800.0000	61400	111880000
PVD	2016-04-21T00:00:00+07:00	22600.0000	24100.0000	21100.0000	23200.0000	24100.0000	23200.0000	23900.0000	1581360	37293000000
PVT	2016-04-21T00:00:00+07:00	10500.0000	11200.0000	9800.0000	10600.0000	10800.0000	10500.0000	10600.0000	1534560	16335940000
PXI	2016-04-21T00:00:00+07:00	5300.0000	5600.0000	5000.0000	5300.0000	5400.0000	5200.0000	5300.0000	72120	380420000
