stocksymbol	datereport	priorcloseprice	ceiling	floor	openprice	highest	lowest	last	totalshare	totalvalue
TCO	2016-04-21T00:00:00+07:00	11500.0000	11000.0000	9600.0000	10600.0000	10600.0000	10200.0000	10400.0000	1330	13830000
TCR	2016-04-21T00:00:00+07:00	9300.0000	9900.0000	8700.0000	8700.0000	9000.0000	8700.0000	8700.0000	124520	1083690000
TCT	2016-04-21T00:00:00+07:00	57000.0000	60500.0000	53500.0000	55000.0000	58500.0000	55000.0000	56500.0000	27530	1570450000
TDC	2016-04-21T00:00:00+07:00	7100.0000	7500.0000	6700.0000	6900.0000	6900.0000	6700.0000	6800.0000	433450	2949690000
TDH	2016-04-21T00:00:00+07:00	13600.0000	14500.0000	12700.0000	13500.0000	14100.0000	13300.0000	13900.0000	163030	2236190000
TDW	2016-04-21T00:00:00+07:00	26000.0000	27800.0000	24200.0000	27400.0000	27500.0000	27200.0000	27500.0000	290	7900000
THG	2016-04-21T00:00:00+07:00	42000.0000	44900.0000	39100.0000	43000.0000	43000.0000	42000.0000	42200.0000	4310	181160000
TIC	2016-04-21T00:00:00+07:00	11200.0000	11900.0000	10500.0000	11200.0000	11200.0000	11200.0000	11200.0000	5490	61490000
TIE	2016-04-21T00:00:00+07:00	14700.0000	15700.0000	13700.0000	14000.0000	15400.0000	14000.0000	14100.0000	42440	604260000
TIX	2016-04-21T00:00:00+07:00	25500.0000	27200.0000	23800.0000	0.0000	0.0000	0.0000	25500.0000	0	0
TLG	2016-04-21T00:00:00+07:00	66500.0000	71000.0000	62000.0000	65500.0000	67500.0000	65500.0000	66500.0000	2950	197270000
TLH	2016-04-21T00:00:00+07:00	7500.0000	8000.0000	7000.0000	7600.0000	7800.0000	7500.0000	7600.0000	657400	4972390000
TMP	2016-04-21T00:00:00+07:00	28000.0000	29900.0000	26100.0000	28100.0000	28100.0000	28000.0000	28000.0000	1210	33890000
TMS	2016-04-21T00:00:00+07:00	67000.0000	71500.0000	62500.0000	67000.0000	67000.0000	65000.0000	67000.0000	5320	351540000
TMT	2016-04-21T00:00:00+07:00	40000.0000	42800.0000	37200.0000	37900.0000	38900.0000	37200.0000	38000.0000	284870	10700190000
TNA	2016-04-21T00:00:00+07:00	53000.0000	56500.0000	49300.0000	53000.0000	56000.0000	53000.0000	54000.0000	34020	1870580000
TNC	2016-04-21T00:00:00+07:00	9000.0000	9600.0000	8400.0000	8900.0000	9000.0000	8900.0000	9000.0000	20	180000
TNT	2016-04-21T00:00:00+07:00	23400.0000	25000.0000	21800.0000	23400.0000	23500.0000	23200.0000	23200.0000	236550	5501570000
TPC	2016-04-21T00:00:00+07:00	7300.0000	7800.0000	6800.0000	0.0000	0.0000	0.0000	7300.0000	0	0
TRA	2016-04-21T00:00:00+07:00	110000.0000	117000.0000	103000.0000	113000.0000	113000.0000	110000.0000	113000.0000	1620	179940000
TRC	2016-04-21T00:00:00+07:00	23600.0000	25200.0000	22000.0000	23600.0000	24400.0000	23600.0000	24300.0000	111310	2683840000
TS4	2016-04-21T00:00:00+07:00	7800.0000	8300.0000	7300.0000	7800.0000	7800.0000	7800.0000	7800.0000	5500	42900000
TSC	2016-04-21T00:00:00+07:00	8700.0000	9300.0000	8100.0000	8700.0000	8700.0000	8500.0000	8500.0000	1591520	13703050000
TTF	2016-04-21T00:00:00+07:00	29000.0000	31000.0000	27000.0000	29000.0000	29000.0000	27600.0000	28000.0000	344300	9727890000
TV1	2016-04-21T00:00:00+07:00	13200.0000	14100.0000	12300.0000	13100.0000	13200.0000	13100.0000	13200.0000	1510	19780000
TVS	2016-04-21T00:00:00+07:00	13100.0000	14000.0000	12200.0000	13100.0000	13200.0000	13100.0000	13200.0000	61300	803560000
TYA	2016-04-21T00:00:00+07:00	12300.0000	13100.0000	11500.0000	12800.0000	12800.0000	12500.0000	12800.0000	48100	610570000
UDC	2016-04-21T00:00:00+07:00	3200.0000	3400.0000	3000.0000	3100.0000	3300.0000	3100.0000	3300.0000	15020	48360000
UIC	2016-04-21T00:00:00+07:00	23000.0000	24600.0000	21400.0000	22600.0000	22700.0000	22500.0000	22700.0000	25580	575580000
VAF	2016-04-21T00:00:00+07:00	17600.0000	18800.0000	16400.0000	17700.0000	17700.0000	17300.0000	17300.0000	15860	274420000
VCB	2016-04-21T00:00:00+07:00	42800.0000	45700.0000	39900.0000	42800.0000	43200.0000	42600.0000	42900.0000	818280	35160300000
VCF	2016-04-21T00:00:00+07:00	176000.0000	188000.0000	164000.0000	168000.0000	168000.0000	168000.0000	168000.0000	40	6720000
VFG	2016-04-21T00:00:00+07:00	67500.0000	72000.0000	63000.0000	67500.0000	67500.0000	64500.0000	64500.0000	31720	2081750000
VHC	2016-04-21T00:00:00+07:00	29200.0000	31200.0000	27200.0000	29300.0000	29600.0000	29000.0000	29000.0000	47080	1387040000
VHG	2016-04-21T00:00:00+07:00	5500.0000	5800.0000	5200.0000	5600.0000	5700.0000	5500.0000	5500.0000	2455860	13716840000
VIC	2016-04-21T00:00:00+07:00	50500.0000	54000.0000	47000.0000	51500.0000	52500.0000	50500.0000	51500.0000	1196330	61722130000
VID	2016-04-21T00:00:00+07:00	4400.0000	4700.0000	4100.0000	4100.0000	4400.0000	4100.0000	4400.0000	590	2430000
VIP	2016-04-21T00:00:00+07:00	9200.0000	9800.0000	8600.0000	9100.0000	9500.0000	9100.0000	9300.0000	445370	4138240000
VIS	2016-04-21T00:00:00+07:00	8000.0000	8500.0000	7500.0000	8000.0000	8100.0000	7900.0000	8000.0000	519820	4149730000
VLF	2016-04-21T00:00:00+07:00	1200.0000	1300.0000	1100.0000	1200.0000	1200.0000	1100.0000	1100.0000	3510	3870000
VMD	2016-04-21T00:00:00+07:00	29600.0000	31600.0000	27600.0000	29000.0000	29200.0000	29000.0000	29000.0000	80290	2328410000
VNA	2016-04-21T00:00:00+07:00	2400.0000	2500.0000	2300.0000	2300.0000	2400.0000	2300.0000	2400.0000	20	50000
VNE	2016-04-21T00:00:00+07:00	9600.0000	10200.0000	9000.0000	9600.0000	10200.0000	9600.0000	10200.0000	1147380	11505110000
VNG	2016-04-21T00:00:00+07:00	11700.0000	12500.0000	10900.0000	11600.0000	11800.0000	11600.0000	11800.0000	31450	368600000
VNH	2016-04-21T00:00:00+07:00	1200.0000	1300.0000	1100.0000	1100.0000	1200.0000	1100.0000	1200.0000	80880	94540000
VNL	2016-04-21T00:00:00+07:00	26700.0000	28500.0000	24900.0000	26500.0000	26500.0000	26500.0000	26500.0000	50	1330000
VNM	2016-04-21T00:00:00+07:00	136000.0000	145000.0000	127000.0000	137000.0000	138000.0000	135000.0000	137000.0000	748780	102136410000
VNS	2016-04-21T00:00:00+07:00	27900.0000	29800.0000	26000.0000	28200.0000	29200.0000	28200.0000	28500.0000	409740	11809870000
VOS	2016-04-21T00:00:00+07:00	2300.0000	2400.0000	2200.0000	2300.0000	2400.0000	2200.0000	2300.0000	82430	189630000
VPH	2016-04-21T00:00:00+07:00	11000.0000	11700.0000	10300.0000	11400.0000	11400.0000	11000.0000	11300.0000	242050	2707870000
VPK	2016-04-21T00:00:00+07:00	21700.0000	23200.0000	20200.0000	21500.0000	21500.0000	20200.0000	21400.0000	2280	46220000
VPS	2016-04-21T00:00:00+07:00	21500.0000	23000.0000	20000.0000	20500.0000	21200.0000	20200.0000	21200.0000	1610	32980000
VRC	2016-04-21T00:00:00+07:00	6200.0000	6600.0000	5800.0000	6500.0000	6500.0000	6500.0000	6500.0000	10	70000
VSC	2016-04-21T00:00:00+07:00	57500.0000	61500.0000	53500.0000	57000.0000	58000.0000	57000.0000	57500.0000	26330	1514400000
VSH	2016-04-21T00:00:00+07:00	14800.0000	15800.0000	13800.0000	14800.0000	14800.0000	14500.0000	14800.0000	10010	147580000
VSI	2016-04-21T00:00:00+07:00	14700.0000	15700.0000	13700.0000	14700.0000	14700.0000	14000.0000	14000.0000	57750	823350000
VTB	2016-04-21T00:00:00+07:00	13800.0000	14700.0000	12900.0000	13800.0000	14500.0000	12900.0000	13800.0000	3190	43000000
VTO	2016-04-21T00:00:00+07:00	6500.0000	6900.0000	6100.0000	6500.0000	6600.0000	6500.0000	6500.0000	84130	554850000
