code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
VLC	2016-04-21T00:00:00+07:00	18500	21200	15800	20000	20000	18000		18900	148600	2790840000
VLG	2016-04-21T00:00:00+07:00	7300	8300	6300	7000	7300	7000		7300	2000	14300000
VMA	2016-04-21T00:00:00+07:00	12700	14600	10800	0	0	0		12700	0	0
VNI	2016-04-21T00:00:00+07:00	5000	5700	4300	0	0	0		5000	0	0
VNN	2016-04-21T00:00:00+07:00	1300	1400	1200	0	0	0		1300	0	0
VNP	2016-04-21T00:00:00+07:00	6400	7300	5500	6600	7300	6600		7300	199200	1418440000
VNX	2016-04-21T00:00:00+07:00	1600	2200	1000	0	0	0		1600	0	0
VPA	2016-04-21T00:00:00+07:00	12000	13800	10200	0	0	0		12000	0	0
VPC	2016-04-21T00:00:00+07:00	1200	1300	1100	1200	1300	1200		1300	600	770000
VPD	2016-04-21T00:00:00+07:00	11600	13300	9900	11300	11300	11200		11200	1609	18109100
VQC	2016-04-21T00:00:00+07:00	18000	20700	15300	0	0	0		18400	0	0
VRG	2016-04-21T00:00:00+07:00	2600	2900	2300	0	0	0		2600	0	0
VSG	2016-04-21T00:00:00+07:00	1500	1700	1300	1500	1500	1500		1500	100	150000
VSP	2016-04-21T00:00:00+07:00	1100	1200	1000	0	0	0		1100	0	0
VST	2016-04-21T00:00:00+07:00	1600	1800	1400	1600	1600	1600		1600	12100	19360000
VT1	2016-04-21T00:00:00+07:00	11000	12600	9400	0	0	0		11000	0	0
VT8	2016-04-21T00:00:00+07:00	13500	15500	11500	0	0	0		13500	0	0
VTA	2016-04-21T00:00:00+07:00	6200	7100	5300	7000	7100	6700		7100	140700	982680000
VTG	2016-04-21T00:00:00+07:00	16700	19200	14200	16900	17100	16900		17100	26800	455520000
VTI	2016-04-21T00:00:00+07:00	5100	5800	4400	0	0	0		5100	0	0
VTJ	2016-04-21T00:00:00+07:00	6200	7100	5300	5300	6500	5300		6500	5200	28910000
VTM	2016-04-21T00:00:00+07:00	21800	30500	13100	0	0	0		0	0	0
VTX	2016-04-21T00:00:00+07:00	16100	18500	13700	13800	16500	13800		16500	3100	50880000
WSB	2016-04-21T00:00:00+07:00	39200	45000	33400	41300	41300	41300		41300	100	4130000
WTC	2016-04-21T00:00:00+07:00	2500	2800	2200	2800	2800	2800		2800	100	280000
XMD	2016-04-21T00:00:00+07:00	12000	16800	7200	0	0	0		12000	0	0
XPH	2016-04-21T00:00:00+07:00	10700	12300	9100	10700	12300	10700		11500	32000	382190000
YBC	2016-04-21T00:00:00+07:00	3000	3400	2600	0	0	0		3000	0	0
