code	trading_date	basic_price	ceiling_price	floor_price	open_price	highest_price	lowest_price	average_price	close_price	nm_total_traded_qtty	nm_total_traded_value
PXA	2016-04-21T00:00:00+07:00	2400	2600	2200	2300	2400	2200		2400	46200	105210000
QHD	2016-04-21T00:00:00+07:00	58000	63800	52200	57500	59500	56500		57000	42278	2418110400
QNC	2016-04-21T00:00:00+07:00	6400	7000	5800	6000	6000	6000		6000	54100	324600000
QST	2016-04-21T00:00:00+07:00	9300	10200	8400	10200	10200	10200		10200	100	1020000
QTC	2016-04-21T00:00:00+07:00	22200	24400	20000	20000	22200	20000		22000	17300	380840000
RCL	2016-04-21T00:00:00+07:00	24000	26400	21600	24000	24000	24000		24000	4600	110400000
S12	2016-04-21T00:00:00+07:00	5100	5600	4600	0	0	0		5100	0	0
S55	2016-04-21T00:00:00+07:00	38200	42000	34400	38600	39000	38500		38800	17900	692580000
S74	2016-04-21T00:00:00+07:00	6400	7000	5800	5900	6400	5900		6400	900	5360000
S99	2016-04-21T00:00:00+07:00	5800	6300	5300	5800	5800	5700		5800	444100	2553880000
SAF	2016-04-21T00:00:00+07:00	65000	71500	58500	58900	65000	58900		65000	1100	70890000
SAP	2016-04-21T00:00:00+07:00	12100	13300	10900	0	0	0		12100	0	0
SCI	2016-04-21T00:00:00+07:00	11000	12100	9900	0	0	0		11000	0	0
SCJ	2016-04-21T00:00:00+07:00	7100	7800	6400	6600	6600	6600		6600	2500	16500000
SCL	2016-04-21T00:00:00+07:00	7700	8400	7000	7500	7500	7500		7500	300	2250000
SCR	2016-04-21T00:00:00+07:00	9100	10000	8200	9100	9300	9100		9300	1269888	11651813600
SD2	2016-04-21T00:00:00+07:00	5600	6100	5100	5700	5800	5700		5800	16200	93850000
SD4	2016-04-21T00:00:00+07:00	10700	11700	9700	10700	10700	10400		10400	15900	166630000
SD5	2016-04-21T00:00:00+07:00	10400	11400	9400	10300	10400	10300		10400	47200	487660000
SD6	2016-04-21T00:00:00+07:00	12400	13600	11200	12400	12500	12400		12500	11700	145690000
SD7	2016-04-21T00:00:00+07:00	8300	9100	7500	8300	8300	7600		8200	13000	104480000
