source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	adj_pcls	adj_coeff
EXC	NLG	HSX	2016/04/21	20160421				22300	23800	20800	22300	22500	22300		22330	22300	75160	1678690000		
EXC	NNC	HSX	2016/04/21	20160421				65500	70000	61000	67000	69000	66500		67540	67000	48530	3277520000		
EXC	NSC	HSX	2016/04/21	20160421				94000	100000	87500	0	0	0		0	0	0	0		
EXC	NT2	HSX	2016/04/21	20160421				30600	32700	28500	30600	30600	29500		29840	29500	665630	19860280000		
EXC	NTL	HSX	2016/04/21	20160421				9600	10200	9000	9600	9800	9500		9670	9600	233460	2258460000		
EXC	NVT	HSX	2016/04/21	20160421				2400	2500	2300	2500	2500	2500		2500	2500	34170	85430000		
EXC	OGC	HSX	2016/04/21	20160421				2900	3100	2700	3100	3100	3000		3100	3100	3637420	11274590000		
EXC	OPC	HSX	2016/04/21	20160421				36500	39000	34000	36300	36300	36300		36300	36300	500	18150000		
EXC	PAC	HSX	2016/04/21	20160421				37900	40500	35300	38400	38400	37500		38060	38000	50930	1938630000		
EXC	PAN	HSX	2016/04/21	20160421				33500	35800	31200	34000	34000	33100		33560	33600	25910	869590000		
EXC	PDN	HSX	2016/04/21	20160421				41500	44400	38600	42300	42300	39800		39890	41500	1570	62630000		
EXC	PDR	HSX	2016/04/21	20160421				15200	16200	14200	15200	15400	15100		15210	15300	845890	12869420000		
EXC	PET	HSX	2016/04/21	20160421				12500	13300	11700	12600	12800	12600		12680	12700	131900	1673120000		
EXC	PGC	HSX	2016/04/21	20160421				10700	11400	10000	10600	10700	10600		10610	10600	9500	100820000		
EXC	PGD	HSX	2016/04/21	20160421				42900	45900	39900	42900	43500	42900		43370	43500	662420	28727580000		
EXC	PGI	HSX	2016/04/21	20160421				15400	16400	14400	15300	16100	15200		15390	15500	198500	3054700000		
EXC	PHR	HSX	2016/04/21	20160421				18100	19300	16900	18500	19200	18500		18820	18800	352320	6631890000		
EXC	PIT	HSX	2016/04/21	20160421				7400	7900	6900	0	0	0		0	0	0	0		
EXC	PJT	HSX	2016/04/21	20160421				10500	11200	9800	0	0	0		0	0	0	0		
EXC	PNC	HSX	2016/04/21	20160421				11600	12400	10800	0	0	0		0	0	0	0		
EXC	PNJ	HSX	2016/04/21	20160421				51500	55000	47900	51500	53500	51500		52550	52500	84740	4452790000		
EXC	POM	HSX	2016/04/21	20160421				9100	9700	8500	9700	9700	9000		9530	9700	5550	52890000		
EXC	PPC	HSX	2016/04/21	20160421				17700	18900	16500	17700	18200	17700		17980	18000	310170	5577830000		
EXC	PPI	HSX	2016/04/21	20160421				5200	5500	4900	5100	5200	5000		5040	5000	483820	2439440000		
EXC	PTB	HSX	2016/04/21	20160421				104000	111000	97000	104000	104000	103000		103830	104000	17670	1834670000		
EXC	PTC	HSX	2016/04/21	20160421				6500	6900	6100	0	0	0		0	0	0	0		
EXC	PTL	HSX	2016/04/21	20160421				1800	1900	1700	1900	1900	1800		1820	1800	61400	111880000		
EXC	PVD	HSX	2016/04/21	20160421				22600	24100	21100	23200	24100	23200		23580	23900	1581360	37293000000		
EXC	PVT	HSX	2016/04/21	20160421				10500	11200	9800	10600	10800	10500		10650	10600	1534560	16335940000		
