source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	adj_pcls	adj_coeff
EXC	CSV	HSX	2016/04/21	20160421				23000	24600	21400	23000	23800	22800		23260	23200	249620	5804930000		
EXC	CTD	HSX	2016/04/21	20160421				170000	181000	159000	178000	178000	170000		176030	170000	356510	62757140000		
EXC	CTG	HSX	2016/04/21	20160421				16000	17100	14900	16100	16100	15900		16020	16000	436360	6989450000		
EXC	CTI	HSX	2016/04/21	20160421				22500	24000	21000	22600	22900	22600		22730	22700	164850	3746350000		
EXC	CYC	HSX	2016/04/21	20160421				2900	3100	2700	0	0	0		0	0	0	0		
EXC	D2D	HSX	2016/04/21	20160421				31000	33100	28900	33100	33100	33000		33010	33100	550	18160000		
EXC	DAG	HSX	2016/04/21	20160421				11100	11800	10400	11100	11300	11100		11220	11200	191860	2152330000		
EXC	DAT	HSX	2016/04/21	20160421				33600	35900	31300	33700	33900	33700		33820	33900	11710	395980000		
EXC	DCL	HSX	2016/04/21	20160421				22800	24300	21300	24300	24300	23100		24160	24300	404350	9771070000		
EXC	DCM	HSX	2016/04/21	20160421				12700	13500	11900	12700	12800	12700		12720	12800	53110	675810000		
EXC	DGW	HSX	2016/04/21	20160421				26200	28000	24400	26900	26900	26600		26720	26600	22850	610480000		
EXC	DHA	HSX	2016/04/21	20160421				24100	25700	22500	24100	24100	23600		23830	23900	74630	1778550000		
EXC	DHC	HSX	2016/04/21	20160421				36800	39300	34300	36800	37200	36700		36880	37200	113050	4169250000		
EXC	DHG	HSX	2016/04/21	20160421				84500	90000	79000	85000	85500	84000		84690	85000	65360	5535190000		
EXC	DHM	HSX	2016/04/21	20160421				10700	11400	10000	10600	10800	10200		10510	10800	1597940	16796650000		
EXC	DIC	HSX	2016/04/21	20160421				6600	7000	6200	6600	6800	6600		6740	6800	181320	1221910000		
EXC	DIG	HSX	2016/04/21	20160421				7800	8300	7300	7800	8100	7700		7920	8000	864080	6843880000		
EXC	DLG	HSX	2016/04/21	20160421				7300	7800	6800	7300	7300	7100		7220	7200	1259930	9096260000		
EXC	DMC	HSX	2016/04/21	20160421				72000	77000	67000	73000	73500	72000		72600	72500	70920	5148690000		
EXC	DPM	HSX	2016/04/21	20160421				29700	31700	27700	29900	29900	29500		29640	29500	521370	15455330000		
EXC	DPR	HSX	2016/04/21	20160421				37600	40200	35000	38400	39000	38100		38480	39000	11900	457950000		
EXC	DQC	HSX	2016/04/21	20160421				65500	70000	61000	65000	67000	65000		65950	67000	13710	904200000		
EXC	DRC	HSX	2016/04/21	20160421				44700	47800	41600	44800	45200	44800		44900	44900	135700	6093240000		
EXC	DRH	HSX	2016/04/21	20160421				36700	39200	34200	38500	38800	37600		38270	38800	144610	5534180000		
EXC	DRL	HSX	2016/04/21	20160421				34000	36300	31700	0	0	0		0	0	0	0		
EXC	DSN	HSX	2016/04/21	20160421				63500	67500	59500	63500	63500	63000		63430	63000	15110	958390000		
EXC	DTA	HSX	2016/04/21	20160421				5000	5300	4700	5100	5100	5100		5100	5100	50	260000		
EXC	DTL	HSX	2016/04/21	20160421				10600	11300	9900	10400	10400	10000		10120	10000	3000	30350000		
EXC	DTT	HSX	2016/04/21	20160421				10200	10900	9500	9500	10900	9500		9600	10900	290	2780000		
EXC	DVP	HSX	2016/04/21	20160421				72000	77000	67000	72500	72500	70500		70840	72500	1660	117590000		
EXC	DXG	HSX	2016/04/21	20160421				15500	16500	14500	15600	15700	15100		15370	15200	567670	8725020000		
EXC	DXV	HSX	2016/04/21	20160421				4100	4300	3900	4100	4100	4100		4100	4100	100	410000		
EXC	E1VFVN30	HSX	2016/04/21	20160421				9200	9800	8600	9200	9300	9200		9270	9300	4010	37190000		
EXC	EIB	HSX	2016/04/21	20160421				10400	11100	9700	10400	10500	10300		10410	10500	376310	3916000000		
EXC	ELC	HSX	2016/04/21	20160421				22300	23800	20800	22300	22800	22200		22510	22700	180220	4056040000		
EXC	EMC	HSX	2016/04/21	20160421				10600	11300	9900	10900	10900	10900		10900	10900	20	220000		
EXC	EVE	HSX	2016/04/21	20160421				42000	44900	39100	42200	44800	42200		43780	43800	413520	18102170000		
EXC	FCM	HSX	2016/04/21	20160421				5400	5700	5100	5500	5600	5500		5500	5500	243610	1340460000		
EXC	FCN	HSX	2016/04/21	20160421				21500	23000	20000	21500	21700	21300		21490	21500	247030	5308560000		
EXC	FDC	HSX	2016/04/21	20160421				27800	29700	25900	0	0	0		0	0	0	0		
EXC	FIT	HSX	2016/04/21	20160421				7200	7700	6700	7200	7300	7100		7200	7200	853290	6141780000		
EXC	FLC	HSX	2016/04/21	20160421				6400	6800	6000	6400	6500	6300		6400	6400	3270320	20928830000		
EXC	FMC	HSX	2016/04/21	20160421				20500	21900	19100	20500	21100	20400		20600	21100	53050	1092750000		
EXC	FPT	HSX	2016/04/21	20160421				47100	50000	43900	47300	47500	47100		47270	47300	496340	23461790000		
EXC	GAS	HSX	2016/04/21	20160421				44800	47900	41700	45700	47600	45700		46780	47600	1430930	66941240000		
EXC	GDT	HSX	2016/04/21	20160421				45400	48500	42300	45000	45400	44000		44160	45300	13420	592580000		
EXC	GIL	HSX	2016/04/21	20160421				35100	37500	32700	35500	35500	35200		35320	35500	8500	300250000		
EXC	GMC	HSX	2016/04/21	20160421				40000	42800	37200	40000	40500	40000		40340	40000	710	28640000		
EXC	GMD	HSX	2016/04/21	20160421				38500	41100	35900	38600	38700	38300		38500	38600	173770	6689970000		
EXC	GSP	HSX	2016/04/21	20160421				14200	15100	13300	14300	14300	14000		14090	14300	38860	547390000		
EXC	GTA	HSX	2016/04/21	20160421				17600	18800	16400	16800	17300	16400		16770	17300	6140	102950000		
EXC	GTN	HSX	2016/04/21	20160421				15800	16900	14700	15700	16200	15700		15940	16200	693660	11056040000		
EXC	GTT	HSX	2016/04/21	20160421				1100	1200	1000	1100	1200	1100		1140	1100	76700	87170000		
EXC	HAG	HSX	2016/04/21	20160421				6700	7100	6300	6700	6900	6700		6790	6800	1657010	11254310000		
EXC	HAH	HSX	2016/04/21	20160421				42800	45700	39900	43100	43100	42800		42930	42900	145980	6267070000		
EXC	HAI	HSX	2016/04/21	20160421				5000	5300	4700	5100	5200	5100		5100	5100	946990	4830700000		
EXC	HAP	HSX	2016/04/21	20160421				5100	5400	4800	5100	5200	5000		5100	5100	231430	1179740000		
EXC	HAR	HSX	2016/04/21	20160421				4500	4800	4200	4500	4600	4500		4550	4600	509400	2316240000		
EXC	HAS	HSX	2016/04/21	20160421				6700	7100	6300	7100	7100	6900		7090	7100	305960	2168890000		
EXC	HAX	HSX	2016/04/21	20160421				18600	19900	17300	19000	19900	18700		19480	19900	10190	198520000		
EXC	HBC	HSX	2016/04/21	20160421				18700	20000	17400	18700	18900	18700		18800	18800	144110	2709100000		
EXC	HCM	HSX	2016/04/21	20160421				28800	30800	26800	29300	29800	29100		29370	29400	379400	11143070000		
EXC	HDC	HSX	2016/04/21	20160421				13400	14300	12500	13300	13300	13000		13140	13300	11250	147820000		
EXC	HDG	HSX	2016/04/21	20160421				27000	28800	25200	26100	27000	26000		26360	27000	11890	313390000		
EXC	HHS	HSX	2016/04/21	20160421				8300	8800	7800	8300	8400	8200		8300	8300	977450	8116330000		
EXC	HLG	HSX	2016/04/21	20160421				7400	7900	6900	6900	7100	6900		6910	6900	22300	154150000		
EXC	HMC	HSX	2016/04/21	20160421				7200	7700	6700	7300	7300	7200		7280	7300	35070	255210000		
EXC	HNG	HSX	2016/04/21	20160421				6800	7200	6400	6800	6900	6700		6820	6800	620220	4226870000		
EXC	HOT	HSX	2016/04/21	20160421				19600	20900	18300	0	0	0		0	0	0	0		
